kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
color.1.sm_61.ptx 159 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 158 : 1252 196304 0 0 0 160 40 0 0 
color.1.sm_61.ptx 157 : 1252 10016 0 0 0 0 0 0 0 
color.1.sm_61.ptx 156 : 1252 10016 0 0 0 0 0 0 0 
color.1.sm_61.ptx 155 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 154 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 151 : 1252 10016 0 0 0 0 0 0 0 
color.1.sm_61.ptx 150 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 149 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 148 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 147 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 145 : 2048 3980 0 0 0 0 0 0 4 
color.1.sm_61.ptx 144 : 2048 10240 0 0 0 0 0 0 0 
color.1.sm_61.ptx 143 : 2048 20480 0 0 0 0 0 0 0 
color.1.sm_61.ptx 142 : 2048 10496 0 0 0 0 0 0 0 
color.1.sm_61.ptx 141 : 2048 10496 0 0 0 0 0 0 0 
color.1.sm_61.ptx 140 : 2048 19456 0 0 0 0 0 0 0 
color.1.sm_61.ptx 139 : 2048 259072 0 0 0 0 0 0 0 
color.1.sm_61.ptx 138 : 2048 271104 0 0 0 0 0 0 0 
color.1.sm_61.ptx 137 : 2048 272384 0 0 0 0 0 0 0 
color.1.sm_61.ptx 136 : 2048 280064 0 0 0 0 0 0 0 
color.1.sm_61.ptx 135 : 2048 281088 0 0 0 0 0 0 0 
color.1.sm_61.ptx 110 : 1252 0 0 0 0 0 0 0 0 
color.1.sm_61.ptx 109 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 108 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 107 : 1252 12520 0 0 0 0 0 0 0 
color.1.sm_61.ptx 106 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 103 : 11341 51040 0 0 0 0 0 0 205 
color.1.sm_61.ptx 102 : 11341 56972 0 0 0 0 0 0 0 
color.1.sm_61.ptx 101 : 11341 90728 0 0 0 0 0 0 0 
color.1.sm_61.ptx 100 : 11341 90728 0 0 0 0 0 0 0 
color.1.sm_61.ptx 99 : 11341 90728 0 0 0 0 0 0 0 
color.1.sm_61.ptx 96 : 10416 52080 0 0 0 0 0 0 0 
color.1.sm_61.ptx 181 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 54 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 113 : 2048 10240 0 0 0 0 0 0 0 
color.1.sm_61.ptx 59 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 117 : 2048 10240 0 0 0 0 0 0 0 
color.1.sm_61.ptx 185 : 2048 10240 0 0 0 0 0 0 0 
color.1.sm_61.ptx 58 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 180 : 1252 10016 0 0 0 0 0 0 0 
color.1.sm_61.ptx 53 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 179 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 52 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 116 : 2048 4736 0 0 0 256 64 0 0 
color.1.sm_61.ptx 51 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 50 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 115 : 2048 16384 0 0 0 0 0 0 0 
color.1.sm_61.ptx 114 : 2048 16384 0 0 0 0 0 0 0 
color.1.sm_61.ptx 182 : 1252 0 0 0 0 0 0 0 0 
color.1.sm_61.ptx 55 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 176 : 75 150 0 0 0 52 32 0 0 
color.1.sm_61.ptx 49 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 47 : 2048 3980 0 0 0 0 0 0 4 
color.1.sm_61.ptx 173 : 1062 5310 0 0 0 0 0 0 0 
color.1.sm_61.ptx 46 : 2048 10272 0 0 0 0 0 0 0 
color.1.sm_61.ptx 160 : 1252 575 0 0 0 0 0 0 30 
color.1.sm_61.ptx 33 : 2048 362560 0 0 0 0 0 0 0 
color.1.sm_61.ptx 34 : 2048 361472 0 0 0 0 0 0 0 
color.1.sm_61.ptx 93 : 10416 52080 0 0 0 0 0 0 0 
color.1.sm_61.ptx 162 : 1137 5685 0 0 0 0 0 0 0 
color.1.sm_61.ptx 35 : 2048 353856 0 0 0 0 0 0 0 
color.1.sm_61.ptx 94 : 10416 83623 0 0 0 0 0 0 0 
color.1.sm_61.ptx 163 : 1137 9096 0 0 0 0 0 0 0 
color.1.sm_61.ptx 36 : 2048 352320 0 0 0 0 0 0 0 
color.1.sm_61.ptx 95 : 10416 1615130 0 0 0 6031 566 0 0 
color.1.sm_61.ptx 164 : 1137 164417 0 0 0 160 40 0 0 
color.1.sm_61.ptx 37 : 2048 331264 0 0 0 0 0 0 0 
color.1.sm_61.ptx 165 : 1137 9096 0 0 0 0 0 0 0 
color.1.sm_61.ptx 38 : 2048 325120 0 0 0 0 0 0 0 
color.1.sm_61.ptx 166 : 1137 169567 0 0 0 160 40 0 0 
color.1.sm_61.ptx 39 : 2048 318976 0 0 0 0 0 0 0 
color.1.sm_61.ptx 167 : 1137 5685 0 0 0 0 0 0 0 
color.1.sm_61.ptx 40 : 2048 312832 0 0 0 0 0 0 0 
color.1.sm_61.ptx 168 : 1137 5310 0 0 0 0 0 0 32 
color.1.sm_61.ptx 41 : 2048 30720 0 0 0 0 0 0 0 
