kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mis.1.sm_61.ptx 311 : 1252 0 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 309 : 1252 10016 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 308 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 314 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 283 : 1252 10016 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 282 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 281 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 280 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 279 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 277 : 1536 1420 0 0 0 0 0 0 4 
mis.1.sm_61.ptx 276 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 275 : 1536 15360 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 274 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 273 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 272 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 271 : 1536 208896 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 270 : 1536 208896 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 269 : 1536 211968 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 268 : 1536 211968 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 244 : 1059 4570 0 0 0 0 0 0 19 
mis.1.sm_61.ptx 243 : 1059 5295 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 242 : 1059 8472 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 241 : 1059 8472 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 238 : 374 52790 0 0 0 278 116 0 0 
mis.1.sm_61.ptx 237 : 374 2992 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 236 : 374 1870 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 234 : 1059 3425 0 0 0 0 0 0 27 
mis.1.sm_61.ptx 233 : 1059 5295 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 232 : 1059 64955 0 0 0 503 213 0 0 
mis.1.sm_61.ptx 231 : 1059 8472 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 230 : 1059 8472 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 229 : 1059 5295 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 228 : 1059 86036 0 0 0 958 213 0 0 
mis.1.sm_61.ptx 225 : 145 1160 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 224 : 145 1160 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 222 : 146 5 0 0 0 0 0 0 1 
mis.1.sm_61.ptx 221 : 146 730 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 220 : 146 20698 0 0 0 55 22 0 0 
mis.1.sm_61.ptx 219 : 146 1179 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 218 : 146 21667 0 0 0 60 22 0 0 
mis.1.sm_61.ptx 217 : 146 21759 0 0 0 55 22 0 0 
mis.1.sm_61.ptx 216 : 146 1168 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 215 : 146 318 0 0 0 55 22 0 0 
mis.1.sm_61.ptx 214 : 146 730 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 145 : 1920 9632 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 86 : 1920 19200 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 213 : 146 1168 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 144 : 1920 19200 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 85 : 1920 9600 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 84 : 1920 9600 0 0 0 0 0 0 0 
