kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
color_max_8.1.sm_61.ptx 159 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 158 : 48837 9962587 0 0 0 6105 1527 0 0 
color_max_8.1.sm_61.ptx 157 : 48837 390696 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 156 : 48837 390696 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 155 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 154 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 151 : 48837 390696 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 150 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 149 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 148 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 147 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 145 : 48896 295 0 0 0 0 0 0 1 
color_max_8.1.sm_61.ptx 144 : 48896 244480 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 143 : 48896 489120 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 142 : 48896 251040 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 141 : 48896 251936 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 140 : 48896 665024 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 139 : 48896 776160 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 138 : 48896 781792 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 137 : 48896 781568 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 136 : 48896 531552 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 135 : 48896 492320 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 110 : 48837 0 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 109 : 48837 244409 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 108 : 48837 244505 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 107 : 48837 488370 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 106 : 48837 244313 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 103 : 234544 928729 0 0 0 0 0 0 13180 
color_max_8.1.sm_61.ptx 102 : 234544 1184473 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 101 : 234544 1876688 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 100 : 234544 1876800 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 99 : 234544 1876521 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 96 : 231845 1159440 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 115 : 48896 391904 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 114 : 48896 391296 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 182 : 48837 0 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 55 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 61 : 48837 390696 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 60 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 59 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 185 : 48896 244480 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 58 : 48837 244185 0 0 0 0 0 0 0 
